snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
214,428000,2.253481e+08,1.4837,1.499811e+08,0.9875,2,1.445245e-20,0.0778,3.4811
215,430000,2.278206e+08,1.5000,1.521745e+08,1.0019,2,1.436027e-20,0.0779,3.6724
216,432000,2.302931e+08,1.5163,1.543423e+08,1.0162,2,1.440155e-20,0.0801,3.9142
217,434000,2.327656e+08,1.5326,1.565452e+08,1.0307,2,1.467275e-20,0.0766,3.1582
218,436000,2.352380e+08,1.5488,1.587361e+08,1.0451,2,1.421344e-20,0.0778,3.8329
219,438000,2.377105e+08,1.5651,1.609491e+08,1.0597,2,1.415424e-20,0.0774,3.8903
220,440000,2.401830e+08,1.5814,1.631388e+08,1.0741,2,1.439501e-20,0.0794,3.4573
221,442000,2.426554e+08,1.5977,1.652978e+08,1.0883,2,1.485491e-20,0.0770,3.7459
222,444000,2.451279e+08,1.6140,1.674813e+08,1.1027,2,1.503763e-20,0.0813,3.8186
223,446000,2.476004e+08,1.6302,1.696638e+08,1.1171,2,1.498051e-20,0.0799,3.8561
224,448000,2.500728e+08,1.6465,1.718458e+08,1.1315,2,1.462784e-20,0.0794,3.5183
225,450000,2.525453e+08,1.6628,1.740208e+08,1.1458,2,1.433331e-20,0.0788,3.4156
226,452000,2.550178e+08,1.6791,1.761924e+08,1.1601,2,1.451856e-20,0.0783,3.7224
227,454000,2.574902e+08,1.6954,1.783861e+08,1.1745,2,1.468572e-20,0.0810,3.6320
228,456000,2.599627e+08,1.7116,1.805925e+08,1.1890,2,1.491078e-20,0.0814,3.8667
229,458000,2.624352e+08,1.7279,1.827748e+08,1.2034,2,1.467689e-20,0.0748,3.9210
230,460000,2.649076e+08,1.7442,1.849853e+08,1.2180,2,1.484723e-20,0.0795,3.6463
231,462000,2.673801e+08,1.7605,1.871778e+08,1.2324,2,1.468955e-20,0.0740,3.8221
232,464000,2.698526e+08,1.7767,1.893568e+08,1.2468,2,1.496538e-20,0.0807,3.6004
233,466000,2.723251e+08,1.7930,1.915736e+08,1.2613,2,1.546087e-20,0.0780,3.8526
234,468000,2.747975e+08,1.8093,1.937562e+08,1.2757,2,1.535850e-20,0.0785,3.5589
235,470000,2.772700e+08,1.8256,1.959774e+08,1.2903,2,1.443777e-20,0.0769,3.8751
236,472000,2.797424e+08,1.8419,1.981757e+08,1.3048,2,1.507833e-20,0.0813,3.3282
237,474000,2.822149e+08,1.8581,2.003911e+08,1.3194,2,1.502398e-20,0.0793,3.2886
238,476000,2.846874e+08,1.8744,2.025896e+08,1.3339,2,1.528913e-20,0.0777,3.3747
239,478000,2.871598e+08,1.8907,2.047921e+08,1.3484,2,1.548676e-20,0.0796,2.9706
240,480000,2.896323e+08,1.9070,2.070140e+08,1.3630,2,1.545444e-20,0.0795,3.2943
241,482000,2.921048e+08,1.9233,2.092096e+08,1.3775,2,1.508804e-20,0.0785,3.6656
242,484000,2.945772e+08,1.9395,2.114174e+08,1.3920,2,1.496276e-20,0.0789,3.4893
243,486000,2.970497e+08,1.9558,2.136178e+08,1.4065,2,1.564037e-20,0.0742,3.7628
244,488000,2.995222e+08,1.9721,2.158073e+08,1.4209,2,1.579828e-20,0.0805,3.3076
245,490000,3.019947e+08,1.9884,2.180033e+08,1.4354,2,1.521518e-20,0.0762,3.1063
246,492000,3.044671e+08,2.0047,2.201807e+08,1.4497,2,1.566580e-20,0.0799,3.2621
247,494000,3.069396e+08,2.0209,2.223584e+08,1.4640,2,1.582385e-20,0.0799,3.7912
248,496000,3.094121e+08,2.0372,2.245547e+08,1.4785,2,1.506724e-20,0.0728,4.1143
249,498000,3.118845e+08,2.0535,2.267653e+08,1.4931,2,1.564924e-20,0.0744,3.6868
250,500000,3.143570e+08,2.0698,2.289498e+08,1.5074,2,1.590732e-20,0.0789,3.9281
251,502000,3.168295e+08,2.0861,2.311849e+08,1.5222,2,1.615759e-20,0.0748,3.2088
252,504000,3.193019e+08,2.1023,2.333733e+08,1.5366,2,1.588796e-20,0.0811,3.5056
253,506000,3.217744e+08,2.1186,2.355864e+08,1.5511,2,1.581112e-20,0.0749,3.8272
