snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
223,446000,-6.075200e+08,-4.0000,-6.218038e+08,-4.0940,1,2.256682e-21,0.0883,1.0000
224,448000,-6.075200e+08,-4.0000,-6.218252e+08,-4.0942,1,2.256554e-21,0.0883,1.0000
225,450000,-6.075200e+08,-4.0000,-6.218525e+08,-4.0944,1,2.256417e-21,0.0883,1.0000
226,452000,-6.075200e+08,-4.0000,-6.218818e+08,-4.0946,1,2.256265e-21,0.0883,1.0000
227,454000,-6.075200e+08,-4.0000,-6.218796e+08,-4.0945,1,2.256271e-21,0.0883,1.0000
228,456000,-6.075200e+08,-4.0000,-6.218760e+08,-4.0945,1,2.256271e-21,0.0883,1.0000
229,458000,-6.075200e+08,-4.0000,-6.218909e+08,-4.0946,1,2.256212e-21,0.0883,1.0000
230,460000,-6.075200e+08,-4.0000,-6.218800e+08,-4.0945,1,2.256249e-21,0.0883,1.0000
231,462000,-6.075200e+08,-4.0000,-6.218843e+08,-4.0946,1,2.256204e-21,0.0883,1.0000
232,464000,-6.075200e+08,-4.0000,-6.219083e+08,-4.0947,1,2.256131e-21,0.0883,1.0000
233,466000,-6.075200e+08,-4.0000,-6.218910e+08,-4.0946,1,2.256197e-21,0.0883,1.0000
234,468000,-6.075200e+08,-4.0000,-6.219094e+08,-4.0947,1,2.256068e-21,0.0883,1.0000
235,470000,-6.075200e+08,-4.0000,-6.218934e+08,-4.0946,1,2.256217e-21,0.0883,1.0000
236,472000,-6.075200e+08,-4.0000,-6.218959e+08,-4.0947,1,2.256190e-21,0.0883,1.0000
237,474000,-6.075200e+08,-4.0000,-6.218827e+08,-4.0946,1,2.256261e-21,0.0883,1.0000
238,476000,-6.075200e+08,-4.0000,-6.218847e+08,-4.0946,1,2.256226e-21,0.0883,1.0000
239,478000,-6.075200e+08,-4.0000,-6.218800e+08,-4.0945,1,2.256253e-21,0.0883,1.0000
240,480000,-6.075200e+08,-4.0000,-6.218619e+08,-4.0944,1,2.256341e-21,0.0883,1.0000
241,482000,-6.075200e+08,-4.0000,-6.218647e+08,-4.0944,1,2.256349e-21,0.0883,1.0000
242,484000,-6.075200e+08,-4.0000,-6.218642e+08,-4.0944,1,2.256341e-21,0.0883,1.0000
243,486000,-6.075200e+08,-4.0000,-6.218653e+08,-4.0945,1,2.256334e-21,0.0883,1.0000
244,488000,-6.075200e+08,-4.0000,-6.218739e+08,-4.0945,1,2.256284e-21,0.0883,1.0000
245,490000,-6.075200e+08,-4.0000,-6.218819e+08,-4.0946,1,2.256242e-21,0.0883,1.0000
